PV;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;avg;answers;st_dev
alla jääma;1;2;2;2;2;3;4;4;4;4;;;;;;;;;;;2,8;10;1,14
alla käima;1;1;2;2;2;2;2;4;4;5;5;5;;;;;;;;;2,92;12;1,56
alla laadima;1;1;1;3;3;3;4;4;5;5;;;;;;;;;;;3;10;1,56
alla tingima;3;3;3;4;4;4;5;5;5;5;;;;;;;;;;;4,1;10;0,88
edasi jõudma;2;3;3;3;3;3;4;4;4;4;;;;;;;;;;;3,3;11;0,67
edasi müüma;2;3;4;4;4;4;4;4;5;5;5;5;5;;;;;;;;4,15;13;0,9
eemale tõukama;3;3;5;5;5;5;5;5;5;5;5;5;;;;;;;;;4,67;12;0,78
esile tükkima;1;3;3;3;4;4;4;4;4;5;;;;;;;;;;;3,5;10;1,08
ette andma;2;3;4;4;4;4;4;4;5;5;;;;;;;;;;;3,9;10;0,88
ette hei teatma;1;1;1;1;1;2;3;4;5;5;5;5;;;;;;;;;2,83;12;1,85
ette jõudma;4;4;4;4;5;5;5;5;5;5;5;;;;;;;;;;4,64;11;0,5
ette kandma;2;2;2;2;3;3;3;3;3;3;4;4;5;5;5;;;;;;3,27;15;1,1
ette kavatsema;1;3;3;3;3;3;4;4;4;5;5;5;5;;;;;;;;3,69;13;1,18
ette kujutama;1;2;3;3;3;3;4;4;4;4;4;;;;;;;;;;3,18;11;0,98
ette käima;2;2;2;3;3;3;4;4;4;5;5;;;;;;;;;;3,36;11;1,12
ette küsima;1;1;2;2;3;4;4;4;4;4;5;5;;;;;;;;;3,25;12;1,42
ette lugema;1;3;3;3;3;3;4;4;4;4;4;5;5;5;;;;;;;3,64;14;1,08
ette maksma;3;4;4;4;4;4;4;4;5;5;5;5;5;;;;;;;;4,31;13;0,63
ette nägema;1;1;3;3;4;4;4;4;5;5;5;;;;;;;;;;3,55;11;1,44
ette sattuma;2;3;3;4;4;5;5;5;5;5;;;;;;;;;;;4,1;10;1,1
ette vaatama;1;1;2;2;3;3;3;4;4;4;;;;;;;;;;;2,7;10;1,16
ette valmistama;2;2;4;4;4;4;4;5;5;5;;;;;;;;;;;3,9;10;1,1
ette valmistuma;2;2;2;4;4;4;4;4;4;4;5;5;;;;;;;;;3,67;12;1,07
ette võtma;1;1;1;2;3;3;3;3;5;5;5;;;;;;;;;;2,91;11;1,58
juurde tulema;2;3;3;4;4;4;5;5;5;5;5;5;5;5;;;;;;;4,29;14;0,99
juurde tõmbama;1;2;2;2;3;3;3;4;4;4;4;5;5;5;5;;;;;;3,47;15;1,3
järele kihutama;4;4;4;4;4;5;5;5;5;5;5;;;;;;;;;;4,55;11;0,52
järele vahtima;3;3;4;4;5;5;5;5;5;5;5;;;;;;;;;;4,45;11;0,82
kaasa sündima;1;2;2;4;4;4;4;5;5;5;;;;;;;;;;;3,6;10;1,43
kaasa tooma;1;2;4;4;4;4;4;4;5;5;5;5;5;5;;;;;;;4,07;14;1,21
kaasa tõmbama;1;2;2;2;2;2;3;3;3;3;3;4;4;4;4;4;4;4;5;5;3,2;20;1,11
kinni käima;2;2;2;2;3;3;4;4;5;5;5;5;5;5;5;;;;;;3,8;15;1,32
kinni maksma;1;1;1;1;2;2;2;2;3;3;3;3;4;4;;;;;;;2,29;14;1,07
kinni minema;1;2;2;2;3;3;3;3;4;4;4;;;;;;;;;;2,82;11;0,98
kinni pidama;3;3;3;4;4;4;4;5;5;5;5;5;;;;;;;;;4,17;12;0,83
kinni traageldama;1;4;4;5;5;5;5;5;5;5;5;5;;;;;;;;;4,5;12;1,17
kokku kiskuma;2;3;4;4;5;5;5;5;5;5;;;;;;;;;;;4,3;10;1,06
kokku koguma;2;3;3;4;4;5;5;5;5;5;;;;;;;;;;;4,1;10;1,1
kokku kuhjama;4;4;4;4;4;4;5;5;5;5;;;;;;;;;;;4,4;10;0,52
kokku leppima;1;2;2;2;3;3;3;3;4;5;;;;;;;;;;;2,8;10;1,14
kokku monteerima;2;2;3;3;5;5;5;5;5;5;5;5;;;;;;;;;4,17;12;1,27
kokku sättima;2;3;4;4;5;5;5;5;5;5;;;;;;;;;;;4,3;10;1,06
kokku taguma;2;2;3;3;3;4;4;4;5;5;5;5;;;;;;;;;3,75;12;1,14
kokku valguma;2;3;3;3;4;4;5;5;5;5;;;;;;;;;;;3,9;10;1,1
külge jääma;2;3;4;4;4;4;4;5;5;5;5;;;;;;;;;;4,09;11;0,94
lahti pääsema;1;1;3;3;4;4;5;5;5;5;;;;;;;;;;;3,6;10;1,58
lahti siduma;1;1;2;3;3;4;4;4;5;5;5;5;;;;;;;;;3,5;12;1,51
lahti voltima;3;4;4;4;4;4;5;5;5;5;;;;;;;;;;;4,3;10;0,67
ligi pääsema;2;3;3;3;4;5;5;5;5;5;;;;;;;;;;;4;10;1,15
läbi kaaluma;1;1;1;2;2;2;4;4;5;5;;;;;;;;;;;2,7;10;1,64
läbi kobama;1;3;3;4;4;4;4;4;5;5;5;;;;;;;;;;3,82;11;1,17
läbi kuluma;2;3;3;4;4;4;4;4;5;5;;;;;;;;;;;3,8;10;0,92
läbi laskma;1;2;3;4;4;5;5;5;5;5;;;;;;;;;;;3,9;10;1,45
läbi lendama;1;2;2;2;3;3;3;4;4;4;5;5;;;;;;;;;3,17;12;1,27
läbi peksma;1;1;2;2;3;3;4;4;4;5;5;;;;;;;;;;3,09;11;1,45
läbi põletama;1;2;2;2;2;3;3;3;3;5;5;;;;;;;;;;2,82;11;1,25
läbi sadama;2;2;3;3;3;3;3;3;3;4;5;;;;;;;;;;3,09;11;0,83
läbi tuhnima;2;3;4;5;5;5;5;5;5;5;5;;;;;;;;;;4,45;11;1,04
läbi tungima;4;4;4;4;4;4;4;5;5;5;5;;;;;;;;;;4,36;11;0,5
läbi uurima;1;2;3;3;4;4;4;5;5;5;5;5;;;;;;;;;3,83;12;1,34
läbi vaatama;3;3;3;3;4;4;4;4;4;5;;;;;;;;;;;3,7;10;0,67
läbi viima;1;1;1;1;2;2;2;2;2;3;3;4;4;5;;;;;;;2,36;14;1,28
maha jahtuma;1;1;2;2;2;2;3;3;3;3;4;4;;;;;;;;;2,5;12;1
maha kustutama;2;2;2;2;3;3;4;4;5;5;5;5;;;;;;;;;3,5;12;1,31
maha kõmmutama;1;1;2;2;3;3;3;3;4;4;4;4;4;5;5;;;;;;3,2;15;1,26
maha käima;1;1;2;2;2;2;3;3;4;4;4;;;;;;;;;;2,55;11;1,13
maha minema;2;2;3;3;3;4;4;4;5;5;;;;;;;;;;;3,5;10;1,08
maha müüma;1;1;1;2;2;3;3;3;4;5;;;;;;;;;;;2,5;10;1,35
maha põlema;2;2;2;3;4;4;4;5;5;5;;;;;;;;;;;3,6;10;1,26
maha rahunema;1;1;2;2;2;3;3;4;4;4;5;;;;;;;;;;2,82;11;1,33
maha suruma;1;3;3;3;3;3;3;5;5;5;5;;;;;;;;;;3,55;11;1,29
maha tapma;1;1;2;2;3;3;3;3;4;4;5;;;;;;;;;;2,82;11;1,25
maha tõmbama;3;3;3;3;4;4;4;4;4;5;5;5;;;;;;;;;3,92;12;0,79
mööda käima;2;3;3;3;3;3;4;5;5;5;5;;;;;;;;;;3,73;11;1,1
otsa sõitma;2;3;3;3;3;4;4;5;5;5;5;5;5;5;;;;;;;4,07;14;1,07
peale hakkama;1;1;2;2;2;2;3;3;3;5;5;;;;;;;;;;2,64;11;1,36
peale tungima;2;2;2;2;2;3;3;3;4;4;4;;;;;;;;;;2,82;11;0,87
sisse kallama;3;3;3;3;4;4;4;4;4;4;5;5;5;5;5;5;;;;;4,13;16;0,81
sisse kutsuma;1;4;4;5;5;5;5;5;5;5;5;5;5;;;;;;;;4,54;13;1,13
sisse torkama;2;2;3;3;4;4;4;5;5;5;5;;;;;;;;;;3,82;11;1,17
sisse vaatama;3;4;4;4;4;5;5;5;5;5;;;;;;;;;;;4,4;10;0,7
taga kihutama;1;1;1;1;2;2;3;3;3;3;4;;;;;;;;;;2,18;11;1,08
taga nutma;2;2;2;2;2;2;2;3;3;3;4;4;4;4;5;;;;;;2,93;15;1,03
tagant tõukama;1;3;3;4;4;5;5;5;5;5;;;;;;;;;;;4;10;1,33
tagasi hoidma;3;3;4;4;4;4;5;5;5;5;;;;;;;;;;;4,2;10;0,79
tagasi minema;3;3;4;5;5;5;5;5;5;5;5;5;;;;;;;;;4,58;12;0,79
tagasi põrkama;2;2;2;2;3;3;4;5;5;5;;;;;;;;;;;3,3;10;1,34
tagasi tulema;2;3;3;4;4;4;5;5;5;5;;;;;;;;;;;4;10;1,05
tagasi vaatama;1;2;4;4;4;5;5;5;5;5;;;;;;;;;;;4;10;1,41
täis kiiluma;2;2;2;3;3;4;4;4;5;5;5;5;5;5;;;;;;;3,86;14;1,23
vahele kukkuma;1;1;1;2;2;2;2;2;3;3;5;;;;;;;;;;2,18;11;1,17
vastu hakkama;2;2;3;3;3;4;4;5;5;5;;;;;;;;;;;3,6;10;1,17
vastu kajama;1;2;2;2;3;3;3;3;3;4;4;4;5;;;;;;;;3;13;1,08
vastu kostma;3;3;3;4;4;4;4;4;5;5;5;5;5;5;;;;;;;4,21;14;0,8
vastu küsima;1;2;3;3;4;4;5;5;5;5;5;5;;;;;;;;;3,92;12;1,38
vastu panema;2;2;2;2;2;2;3;3;3;4;5;5;5;;;;;;;;3,08;13;1,26
vastu pidama;2;2;2;3;3;3;3;4;5;5;;;;;;;;;;;3,2;10;1,14
vastu põrutama;1;1;1;1;1;2;2;2;2;3;3;4;;;;;;;;;1,92;12;1
vastu raiuma;1;1;1;1;1;2;2;2;3;3;4;5;5;;;;;;;;2,38;13;1,5
vastu rääkima;2;2;3;3;3;3;4;4;4;4;5;5;;;;;;;;;3,5;12;1
vastu vahtima;1;2;2;2;3;3;4;4;4;4;4;;;;;;;;;;3;11;1,1
vastu võtma;1;2;2;3;3;3;3;4;4;5;5;5;5;;;;;;;;3,46;13;1,33
välja ajama;2;3;3;3;3;4;4;4;5;5;5;5;;;;;;;;;3,83;12;1,03
välja andma;1;1;2;2;2;3;3;4;4;4;5;5;;;;;;;;;3;12;1,41
välja hei teatma;2;2;2;2;3;4;4;4;4;4;4;5;5;;;;;;;;3,46;13;1,13
välja hüüdma;2;2;3;3;4;4;4;4;4;5;5;;;;;;;;;;3,64;11;1,03
välja ilmuma;2;3;3;3;3;3;4;4;5;5;5;5;;;;;;;;;3,75;12;1,06
välja jääma;1;3;4;4;4;5;5;5;5;5;5;;;;;;;;;;4,18;11;1,25
välja kostma;1;2;2;4;4;4;4;5;5;5;;;;;;;;;;;3,6;10;1,43
välja kuulutama;1;1;2;3;3;4;4;4;4;4;5;;;;;;;;;;3,18;11;1,33
välja loosima;1;1;1;2;4;4;4;5;5;5;5;5;;;;;;;;;3,5;12;1,73
välja mõõtma;2;2;2;2;3;3;3;3;3;3;4;4;;;;;;;;;2,83;12;0,72
välja nägema;1;1;1;2;2;2;2;2;3;3;;;;;;;;;;;1,9;10;0,74
välja näitama;2;4;4;4;4;4;4;5;5;5;;;;;;;;;;;4,1;10;0,88
välja paiskama;2;3;3;3;4;4;4;4;5;5;5;5;;;;;;;;;3,92;12;1
välja pakkima;1;1;2;2;2;3;4;4;5;5;5;5;;;;;;;;;3,25;12;1,6
välja pilduma;1;2;3;3;3;3;4;4;4;4;5;5;5;5;;;;;;;3,64;14;1,22
välja pistma;4;4;4;4;4;4;4;4;5;5;5;5;5;5;;;;;;;4,43;14;0,51
välja puhastama;1;2;2;2;2;3;4;4;4;4;5;;;;;;;;;;3;11;1,26
välja pääsema;2;3;3;4;4;4;4;5;5;5;5;;;;;;;;;;4;11;1
välja registreerima;1;1;2;2;3;3;4;4;4;5;5;5;;;;;;;;;3,25;12;1,48
välja rändama;1;2;4;4;4;5;5;5;5;5;;;;;;;;;;;4;10;1,41
välja saagima;1;3;4;4;5;5;5;5;5;5;5;5;5;5;;;;;;;4,43;14;1,16
välja suitsetama;2;2;2;2;3;3;3;4;4;4;5;5;;;;;;;;;3,25;12;1,14
välja sulama;2;2;4;4;4;4;4;5;5;5;5;5;5;;;;;;;;4,15;13;1,07
välja sülgama;2;2;2;3;3;3;3;4;4;4;4;4;4;5;;;;;;;3,36;14;0,93
välja tahuma;1;2;3;3;3;3;4;4;4;5;5;5;5;5;;;;;;;3,71;14;1,27
välja tõrjuma;2;3;4;5;5;5;5;5;5;5;5;;;;;;;;;;4,45;11;1,04
välja venima;1;2;2;2;3;3;3;3;4;4;;;;;;;;;;;2,7;10;0,95
ühte hoidma;1;1;2;2;2;3;3;4;4;4;4;5;;;;;;;;;2,92;12;1,31
üle andma;1;2;4;4;4;5;5;5;5;5;;;;;;;;;;;4;10;1,41
üle küsima;1;1;2;2;2;3;3;3;3;3;5;5;;;;;;;;;2,75;12;1,29
üle libisema;1;2;2;3;3;4;4;4;4;5;5;;;;;;;;;;3,36;11;1,29
üle lugema;2;2;3;3;4;4;4;4;5;5;5;5;5;;;;;;;;3,92;13;1,12
üle pakkuma;1;1;2;2;2;2;4;4;4;4;5;;;;;;;;;;2,82;11;1,4
üle pesema;2;2;3;3;4;4;4;4;4;5;5;5;5;5;5;;;;;;4;15;1,07
üle tooma;1;2;2;3;3;4;4;4;4;4;5;5;5;;;;;;;;3,54;13;1,27
üles ehmatama;1;2;2;2;3;3;3;4;4;5;;;;;;;;;;;2,9;10;1,2
üles harima;1;1;1;2;3;3;3;3;3;3;5;5;;;;;;;;;2,75;12;1,36
üles joonistama;2;2;2;2;2;4;4;5;5;5;;;;;;;;;;;3,3;10;1,42
üles kasvama;1;2;2;2;2;3;3;3;3;4;4;4;4;4;5;5;;;;;3,19;16;1,17
üles kloppima;1;1;1;2;2;2;2;2;2;3;3;3;;;;;;;;;2;12;0,74
üles käänama;2;2;3;3;4;4;5;5;5;5;;;;;;;;;;;3,8;10;1,23
üles kündma;1;2;3;4;4;4;4;4;4;5;5;;;;;;;;;;3,64;11;1,21
üles peksma;1;1;1;2;2;3;3;3;5;5;5;;;;;;;;;;2,82;11;1,6
üles seadma;1;2;2;2;2;3;3;3;3;3;4;4;5;;;;;;;;2,85;13;1,07
üles soojenema;1;1;1;3;3;3;3;3;4;4;;;;;;;;;;;2,6;10;1,17
üles tursuma;2;3;3;3;4;4;4;5;5;5;5;5;5;;;;;;;;4,08;13;1,04
ümber asuma;1;1;1;2;3;3;4;4;4;5;;;;;;;;;;;2,8;10;1,48
ümber kehastuma;1;1;2;2;3;3;3;4;4;5;5;5;;;;;;;;;3,17;12;1,47
ümber kohendama;2;2;3;4;4;4;4;5;5;5;;;;;;;;;;;3,8;10;1,14
ümber kukkuma;2;2;2;2;3;3;3;4;4;4;5;5;5;5;5;5;;;;;3,69;16;1,25
ümber mõtlema;1;1;1;2;3;3;4;4;5;5;;;;;;;;;;;2,9;10;1,6
ümber paigutama;1;3;4;4;4;4;4;5;5;5;5;5;5;;;;;;;;4,15;13;1,14
ümber reastuma;1;1;2;3;4;4;5;5;5;5;5;;;;;;;;;;3,64;11;1,63
ümber riietama;1;1;1;1;3;4;4;5;5;5;;;;;;;;;;;3;10;1,83
ümber ristima;1;1;2;2;2;2;2;2;3;4;4;5;5;5;5;;;;;;3;15;1,51
